,Itr0_time,Itr0_acc,Itr0_conf,Itr0_aclabel
35,0.0003120303153991699,0.0,[0.16468905 0.14106016 0.11600336 0.12487097],[6 2 9 6]
36,0.0003057718276977539,0.25,[0.12399801 0.13623214 0.11913492 0.14249985],[9 5 8 1]
37,0.00030517578125,0.25,[0.13121763 0.12916519 0.14348781 0.11614696],[0 1 7 2]
38,0.00031816959381103516,0.0,[0.1404491  0.17672418 0.12781133 0.17607525],[7 0 2 3]
39,0.00030666589736938477,0.0,[0.17164731 0.19158334 0.13564932 0.15769656],[8 7 4 0]
40,0.0003045797348022461,0.25,[0.14430575 0.14667606 0.11198104 0.1563963 ],[6 1 8 2]
41,0.0003114938735961914,0.25,[0.11911389 0.17523846 0.18314916 0.19113548],[4 6 1 9]
42,0.0003020167350769043,0.25,[0.13946895 0.16209665 0.13013096 0.19544469],[7 6 5 1]
43,0.00030434131622314453,0.0,[0.14126559 0.11215795 0.16380544 0.16416492],[2 6 2 5]
44,0.0003095269203186035,0.25,[0.1302871  0.14632168 0.16888128 0.12950271],[4 1 9 5]
45,0.0003046393394470215,0.0,[0.16374016 0.1123649  0.17069702 0.12046141],[2 2 5 3]
46,0.0003026723861694336,0.0,[0.15339904 0.10754657 0.14877476 0.13360088],[7 6 9 4]
47,0.00031501054763793945,0.25,[0.1303696  0.14457838 0.15115833 0.1339089 ],[2 5 1 2]
48,0.0003025531768798828,0.0,[0.14827505 0.11200636 0.10306023 0.15725203],[9 8 9 9]
49,0.00030356645584106445,0.25,[0.12031463 0.136315   0.15276994 0.18048158],[6 2 1 2]
50,0.0003095865249633789,0.0,[0.11025283 0.10245568 0.1379398  0.16134892],[6 3 8 5]
51,0.0003044009208679199,0.25,[0.15096833 0.15204157 0.14647353 0.12630342],[8 1 4 7]
52,0.0003040432929992676,0.25,[0.11036279 0.13535711 0.1206686  0.13691226],[8 9 9 1]
53,0.0003122687339782715,0.0,[0.12032183 0.1081142  0.14620091 0.16302921],[4 6 5 6]
54,0.00030094385147094727,0.0,[0.1556036  0.10263982 0.15561418 0.13838741],[7 7 4 6]
55,0.00030231475830078125,0.0,[0.13174117 0.20134242 0.12343738 0.15675318],[4 5 9 2]
56,0.00031262636184692383,0.0,[0.10979949 0.1194656  0.20152797 0.20226496],[4 0 5 5]
57,0.0003039836883544922,0.0,[0.1490816  0.13766718 0.13120969 0.12648486],[5 2 4 0]
58,0.00030237436294555664,0.0,[0.19942294 0.10762902 0.1461201  0.1394345 ],[5 2 8 9]
59,0.00031447410583496094,0.0,[0.18173997 0.12394811 0.12752472 0.14306216],[9 7 2 9]
60,0.00030553340911865234,0.25,[0.15396819 0.14581381 0.138356   0.11166124],[0 3 1 9]
61,0.00030922889709472656,0.0,[0.14215933 0.19551583 0.12279877 0.14901535],[7 0 4 9]
62,0.0003096461296081543,0.25,[0.1871322  0.15816179 0.16269587 0.15730792],[5 2 4 1]
63,0.00030624866485595703,0.0,[0.1663598  0.13861436 0.11210342 0.11958133],[2 5 2 7]
64,0.0003056526184082031,0.25,[0.1405583  0.13696888 0.1538519  0.15119682],[8 3 1 2]
65,0.0003140568733215332,0.0,[0.15546583 0.18809885 0.10295924 0.17988133],[4 5 6 3]
66,0.0003037452697753906,0.25,[0.13446613 0.1444499  0.1790823  0.20237003],[9 0 6 1]
67,0.00030732154846191406,0.0,[0.13844208 0.14205511 0.13289891 0.13436449],[7 6 9 8]
68,0.00030875205993652344,0.25,[0.12953988 0.13517737 0.11382827 0.1186507 ],[6 6 1 6]
69,0.0003064870834350586,0.25,[0.12149768 0.1308961  0.13855003 0.12095667],[1 6 8 6]
70,0.00030601024627685547,0.0,[0.12395082 0.12125849 0.12701619 0.14411215],[3 0 0 9]
71,0.0003177523612976074,0.0,[0.20738216 0.13965803 0.1310989  0.16946529],[4 0 5 8]
72,0.0003097057342529297,0.0,[0.11546667 0.14931686 0.15761273 0.11664018],[8 9 0 3]
73,0.00030481815338134766,0.0,[0.10437069 0.12189315 0.15173408 0.15890275],[3 7 2 6]
74,0.00031453371047973633,0.0,[0.1341228  0.16187046 0.1175787  0.20208485],[2 3 0 3]
75,0.00030428171157836914,0.0,[0.15013385 0.11120656 0.10653206 0.15519278],[0 4 2 7]
76,0.0003140568733215332,0.0,[0.1788172  0.1229907  0.14381485 0.20212351],[5 9 8 0]
77,0.0003146529197692871,0.0,[0.15317029 0.11797506 0.1524775  0.11287975],[7 9 7 4]
78,0.00030285120010375977,0.0,[0.14820716 0.17544036 0.14011855 0.17249322],[8 0 4 0]
79,0.0003044605255126953,0.0,[0.16088964 0.13998681 0.14096545 0.14316276],[2 9 5 4]
80,0.00030869245529174805,0.0,[0.14990924 0.17746675 0.13599582 0.12180816],[0 3 4 3]
