,Itr0_time,Itr0_acc,Itr0_conf,Itr0_aclabel
46,0.003711521625518799,0.25,[0.5737494  0.48075673 0.82634825 0.5047843 ],[9 4 1 3]
47,0.003731966018676758,0.75,[0.75165904 0.4579039  0.87303704 0.37087247],[8 7 4 4]
48,0.003627777099609375,0.25,[0.4471191  0.541473   0.31827638 0.3224698 ],[3 2 5 3]
49,0.0035890936851501465,0.25,[0.428109   0.26152632 0.75462836 0.43556324],[9 7 7 6]
50,0.0035683512687683105,0.75,[0.53293055 0.3013695  0.571744   0.7322845 ],[9 4 5 2]
51,0.0035704374313354492,0.25,[0.53853303 0.21108398 0.5273053  0.283876  ],[2 5 2 8]
52,0.003579556941986084,0.5,[0.36590707 0.32015315 0.4677655  0.6325439 ],[4 2 9 3]
53,0.003578364849090576,0.0,[0.2867352  0.70003086 0.77993983 0.6713791 ],[0 2 2 7]
54,0.003589808940887451,0.25,[0.2804175  0.23125641 0.3291454  0.48146644],[2 8 9 5]
55,0.003614366054534912,0.75,[0.9612235 0.7468727 0.8091885 0.8671358],[6 9 6 2]
56,0.0035886764526367188,0.25,[0.4510808  0.7071191  0.30744186 0.5461044 ],[3 7 0 4]
57,0.0035566091537475586,0.25,[0.8976323  0.26471147 0.34398738 0.71377456],[9 4 7 9]
58,0.0035777688026428223,0.5,[0.38240945 0.37888297 0.24898854 0.3660675 ],[8 9 0 0]
59,0.003761112689971924,0.5,[0.8618782  0.70433235 0.938581   0.43791315],[2 2 7 1]
60,0.0035912394523620605,0.5,[0.39765516 0.29897064 0.1971748  0.8561622 ],[5 2 4 2]
61,0.003593146800994873,0.25,[0.7311446  0.6779498  0.77127814 0.33933794],[3 0 7 4]
62,0.0038045644760131836,0.0,[0.7544965  0.35898763 0.22543836 0.38904664],[5 6 0 2]
63,0.003594815731048584,0.25,[0.36298668 0.1919362  0.74333805 0.4466202 ],[8 8 0 3]
64,0.003610968589782715,0.5,[0.36884597 0.29072297 0.49785843 0.3101384 ],[0 7 1 3]
65,0.0036202073097229004,0.5,[0.7010649  0.7513293  0.93385726 0.24067158],[7 0 1 6]
66,0.003622114658355713,0.0,[0.7072333  0.2059755  0.31476408 0.4671735 ],[4 0 4 8]
67,0.0035899877548217773,0.0,[0.5150124  0.46969962 0.33878005 0.39978793],[0 9 3 6]
68,0.0035924315452575684,0.25,[0.56499416 0.49584773 0.6132887  0.49947876],[0 1 3 9]
69,0.003595411777496338,0.5,[0.41658214 0.3785569  0.53768903 0.54313004],[7 4 9 4]
70,0.003608524799346924,0.0,[0.63123137 0.5334355  0.3262989  0.43514603],[9 5 8 5]
71,0.0036028027534484863,0.25,[0.36027908 0.47158226 0.49748665 0.31879702],[1 3 5 7]
72,0.0037055015563964844,0.75,[0.39853787 0.9775441  0.3779269  0.43349802],[4 8 4 5]
73,0.0036340951919555664,0.5,[0.25642544 0.42121428 0.369633   0.8367397 ],[1 3 7 6]
74,0.003592193126678467,0.25,[0.5175613  0.90477884 0.34925348 0.21720025],[7 7 1 2]
75,0.0037702322006225586,0.75,[0.40969515 0.665159   0.4188958  0.5927656 ],[4 3 2 2]
76,0.003589153289794922,0.25,[0.47493806 0.44124374 0.28107205 0.5275428 ],[5 7 5 5]
77,0.0035875439643859863,0.0,[0.4465636  0.42436594 0.5577383  0.35528547],[3 4 4 7]
78,0.0036753416061401367,0.25,[0.5290945  0.66081107 0.59095436 0.1820287 ],[3 9 2 4]
79,0.0036670565605163574,0.75,[0.636705   0.2833456  0.55264777 0.6327251 ],[0 9 5 9]
80,0.003603994846343994,0.25,[0.37137341 0.4392415  0.68374264 0.33895457],[5 5 4 3]
81,0.0035827159881591797,0.25,[0.47042882 0.38080797 0.19764704 0.35989726],[7 3 5 3]
82,0.0035907626152038574,0.75,[0.5477739  0.5910487  0.35689363 0.5596448 ],[3 1 4 8]
83,0.0035829544067382812,0.25,[0.41587743 0.31459805 0.7036403  0.21292353],[0 4 1 9]
84,0.0038014650344848633,0.25,[0.27588883 0.2675338  0.43246245 0.55620944],[8 9 8 6]
85,0.003563225269317627,0.25,[0.37060827 0.4253415  0.21524294 0.48534518],[5 5 1 4]
86,0.0037158727645874023,0.5,[0.68216896 0.24541475 0.43165842 0.8313119 ],[3 3 5 1]
87,0.0035836100578308105,0.75,[0.9274043 0.9705988 0.5850306 0.5164317],[0 5 9 6]
88,0.0035814642906188965,0.25,[0.3805199  0.29035434 0.35906035 0.33549765],[5 6 7 3]
89,0.003577291965484619,0.25,[0.449709   0.46444008 0.45464015 0.7089475 ],[2 6 2 6]
90,0.003778994083404541,0.5,[0.44998387 0.9787906  0.93778294 0.4312617 ],[7 0 1 5]
91,0.003587007522583008,0.5,[0.42509764 0.34587538 0.38834706 0.24700066],[3 0 2 0]
92,0.003573775291442871,0.75,[0.64389724 0.4082392  0.33538735 0.6109482 ],[9 2 8 4]
93,0.00359344482421875,0.25,[0.46225744 0.3464833  0.23851246 0.57805747],[2 3 3 0]
94,0.0036028027534484863,0.75,[0.24820167 0.6031873  0.8283778  0.61453295],[4 2 8 8]
95,0.003627300262451172,0.75,[0.7065666  0.44568664 0.5440882  0.5942012 ],[6 9 6 1]
96,0.003618299961090088,0.75,[0.37664258 0.7271968  0.62899214 0.3660206 ],[7 0 5 6]
97,0.0036070942878723145,0.25,[0.46454394 0.4195758  0.39437103 0.6647231 ],[0 8 1 5]
98,0.0037094950675964355,0.25,[0.48842382 0.49352488 0.40181202 0.82788086],[6 2 1 3]
99,0.0037155747413635254,0.5,[0.6338196  0.5197134  0.501716   0.52540916],[8 0 6 0]
100,0.003651857376098633,0.25,[0.29095453 0.52159977 0.4281377  0.30318633],[8 5 5 3]
101,0.0036622285842895508,0.0,[0.94807655 0.34722504 0.25671583 0.29554215],[0 7 4 3]
102,0.003808319568634033,0.25,[0.7725832  0.20381868 0.19302261 0.21558289],[7 3 8 2]
103,0.0035962462425231934,0.75,[0.15128653 0.78314316 0.47408345 0.3516831 ],[7 9 8 7]
104,0.0035862326622009277,0.5,[0.6621079  0.28924978 0.66970444 0.2777533 ],[2 3 7 0]
105,0.003575563430786133,0.25,[0.7212991  0.80378115 0.25947344 0.54996824],[0 7 6 2]
106,0.003562450408935547,0.75,[0.69956285 0.19116457 0.46537465 0.99917287],[4 2 9 0]
107,0.003551185131072998,0.5,[0.5618651 0.6043115 0.5903809 0.5807232],[7 1 3 3]
108,0.0035837292671203613,0.25,[0.58912164 0.19875829 0.5081933  0.65824896],[2 5 5 5]
109,0.003573596477508545,0.75,[0.55538076 0.83497083 0.7883607  0.4565569 ],[8 2 7 0]
110,0.0035926103591918945,0.5,[0.91376704 0.38232696 0.24875891 0.7074531 ],[7 8 5 7]
111,0.0035858154296875,0.0,[0.34270218 0.56879145 0.2521846  0.26857206],[8 8 3 5]
112,0.0035974979400634766,0.25,[0.28566933 0.68711245 0.60544276 0.8395836 ],[8 8 2 9]
113,0.0035616159439086914,0.75,[0.55232453 0.4279065  0.43818384 0.41450685],[6 2 4 1]
114,0.003585994243621826,0.5,[0.328679   0.88916427 0.7659891  0.2357312 ],[0 7 3 8]
115,0.0035857558250427246,0.5,[0.51056516 0.9737786  0.62361526 0.36371616],[7 1 2 2]
